battery_id,cycle,voltage,temperature,capacity,soh,rul
SYN0014,48,3.5792,14.97,1.495,0.7862,8
SYN0014,49,3.5752,14.62,1.4856,0.7813,7
SYN0014,50,3.5932,15.14,1.4944,0.7859,6
SYN0014,51,3.5664,14.9,1.488,0.7825,5
SYN0014,52,3.563,15.41,1.4603,0.768,4
SYN0014,53,3.5598,16.07,1.4492,0.7621,3
SYN0014,54,3.5743,15.57,1.4531,0.7642,2
SYN0014,55,3.5517,14.74,1.4346,0.7545,1
SYN0014,56,3.5563,13.78,1.4374,0.7559,0
SYN0015,1,3.6857,22.25,2.0158,1.0,52
SYN0015,2,3.7012,22.55,2.0156,0.9999,51
SYN0015,3,3.6909,23.11,2.0082,0.9963,50
SYN0015,4,3.7078,23.41,2.0137,0.999,49
SYN0015,5,3.6935,23.92,2.0158,1.0,48
SYN0015,6,3.6907,24.82,1.9994,0.9919,47
SYN0015,7,3.6794,24.22,2.01,0.9972,46
SYN0015,8,3.691,23.26,2.0006,0.9925,45
SYN0015,9,3.6758,22.57,2.0158,1.0,44
SYN0015,10,3.6766,21.82,1.9903,0.9874,43
SYN0015,11,3.7026,22.16,1.999,0.9917,42
SYN0015,12,3.7054,22.29,2.0075,0.9959,41
SYN0015,13,3.7043,21.72,2.0158,1.0,40
SYN0015,14,3.6859,22.12,2.001,0.9927,39
SYN0015,15,3.6934,22.65,1.995,0.9897,38
SYN0015,16,3.7,21.99,2.0158,1.0,37
SYN0015,17,3.679,22.2,1.984,0.9843,36
SYN0015,18,3.703,22.7,1.9754,0.98,35
SYN0015,19,3.7044,21.93,2.001,0.9927,34
SYN0015,20,3.6903,22.57,1.9905,0.9875,33
SYN0015,21,3.6909,23.5,1.9843,0.9844,32
SYN0015,22,3.6976,22.71,2.0007,0.9925,31
SYN0015,23,3.6734,21.77,1.995,0.9897,30
SYN0015,24,3.6886,21.39,1.9859,0.9852,29
SYN0015,25,3.6818,21.74,1.9776,0.9811,28
SYN0015,26,3.6848,22.66,1.9983,0.9913,27
SYN0015,27,3.691,22.45,1.9951,0.9897,26
SYN0015,28,3.7093,22.88,1.9865,0.9855,25
