battery,cycle,capacity_ah
B0005,148,1.31847
B0005,149,1.31829
B0005,150,1.32387
B0005,151,1.36012
B0005,152,1.33953
B0005,153,1.32903
B0005,154,1.32367
B0005,155,1.31863
B0005,156,1.31348
B0005,157,1.31320
B0005,158,1.30780
B0005,159,1.30303
B0005,160,1.30336
B0005,161,1.30341
B0005,162,1.29789
B0005,163,1.29807
B0005,164,1.29346
B0005,165,1.28800
B0005,166,1.28745
B0005,167,1.30902
B0005,168,1.32508
B0006,1,2.03534
B0006,2,2.02514
B0006,3,2.01333
B0006,4,2.01328
B0006,5,2.00053
B0006,6,2.01390
B0006,7,2.01310
B0006,8,1.96879
B0006,9,1.96817
B0006,10,1.95723
B0006,11,1.94560
B0006,12,1.93475
B0006,13,1.92328
B0006,14,1.91189
B0006,15,1.90107
B0006,16,1.88920
B0006,17,1.87828
B0006,18,1.86757
B0006,19,1.86759
B0006,20,1.97963
B0006,21,1.95755
B0006,22,1.94582
B0006,23,1.92425
B0006,24,1.94598
B0006,25,1.90141
B0006,26,1.87867
B0006,27,1.86831
B0006,28,1.85602
B0006,29,1.84520
B0006,30,1.85723
B0006,31,1.92478
B0006,32,1.88223
B0006,33,1.85528
B0006,34,1.83925
B0006,35,1.81854
B0006,36,1.81348
B0006,37,1.79710
B0006,38,1.78100
B0006,39,1.77101
B0006,40,1.76047
B0006,41,1.75029
B0006,42,1.73949
B0006,43,1.75468
B0006,44,1.76594
B0006,45,1.73379
B0006,46,1.71333
B0006,47,1.70241
B0006,48,1.82372
B0006,49,1.80813
B0006,50,1.77576
B0006,51,1.74474
B0006,52,1.72921
B0006,53,1.70811
B0006,54,1.69760
B0006,55,1.68206
B0006,56,1.67148
B0006,57,1.66076
B0006,58,1.65112
B0006,59,1.64013
B0006,60,1.62920
B0006,61,1.60885
B0006,62,1.60352
B0006,63,1.59897
B0006,64,1.58763
B0006,65,1.58297
B0006,66,1.56714
B0006,67,1.56134
B0006,68,1.55117
B0006,69,1.54067
B0006,70,1.52531
B0006,71,1.53016
B0006,72,1.52466
B0006,73,1.51455
B0006,74,1.50939
B0006,75,1.50400
B0006,76,1.49352
B0006,77,1.48763
B0006,78,1.53029
B0006,79,1.50408
B0006,80,1.48876
B0006,81,1.47828
B0006,82,1.47846
B0006,83,1.47321
B0006,84,1.46752
B0006,85,1.45163
B0006,86,1.45192
B0006,87,1.44715
B0006,88,1.44685
B0006,89,1.44167
B0006,90,1.59359
B0006,91,1.54639
B0006,92,1.51471
B0006,93,1.49898
B0006,94,1.48311
B0006,95,1.47297
B0006,96,1.46276
B0006,97,1.45184
B0006,98,1.44687
B0006,99,1.44138
B0006,100,1.43121
B0006,101,1.42602
B0006,102,1.42049
B0006,103,1.42070
B0006,104,1.45226
B0006,105,1.43156
B0006,106,1.41502
B0006,107,1.40973
B0006,108,1.40492
B0006,109,1.39516
B0006,110,1.39453
B0006,111,1.38932
B0006,112,1.38384
B0006,113,1.37368
B0006,114,1.37861
B0006,115,1.37376
B0006,116,1.36826
B0006,117,1.36330
B0006,118,1.35810
B0006,119,1.35327
B0006,120,1.38416
B0006,121,1.40515
B0006,122,1.37872
B0006,123,1.36827
B0006,124,1.35732
B0006,125,1.35249
B0006,126,1.34741
B0006,127,1.33701
B0006,128,1.33124
B0006,129,1.32593
B0006,130,1.32158
B0006,131,1.32123
B0006,132,1.31565
B0006,133,1.32090
B0006,134,1.34743
B0006,135,1.32601
B0006,136,1.31012
B0006,137,1.30522
B0006,138,1.30041
B0006,139,1.30024
B0006,140,1.28951
B0006,141,1.27925
B0006,142,1.27921
B0006,143,1.27404
B0006,144,1.27413
B0006,145,1.26376
B0006,146,1.25814
B0006,147,1.25326
B0006,148,1.25323
B0006,149,1.24809
B0006,150,1.25344
B0006,151,1.28980
B0006,152,1.26354
B0006,153,1.24798
B0006,154,1.23212
B0006,155,1.22711
B0006,156,1.22174
B0006,157,1.21110
B0006,158,1.20562
B0006,159,1.20089
B0006,160,1.19059
B0006,161,1.18518
B0006,162,1.17967
B0006,163,1.17460
B0006,164,1.15382
B0006,165,1.16440
B0006,166,1.15880
B0006,167,1.17497
B0006,168,1.18568
B0007,1,1.89105
B0007,2,1.88064
B0007,3,1.88066
B0007,4,1.88077
B0007,5,1.87945
B0007,6,1.88070
B0007,7,1.87994
B0007,8,1.88151
B0007,9,1.86969
B0007,10,1.87005
B0007,11,1.87004
B0007,12,1.85965
B0007,13,1.85907
B0007,14,1.85901
B0007,15,1.85936
B0007,16,1.85874
B0007,17,1.84782
B0007,18,1.84853
B0007,19,1.84838
B0007,20,1.88078
B0007,21,1.88147
B0007,22,1.88110
B0007,23,1.87101
B0007,24,1.87020
B0007,25,1.87067
B0007,26,1.85961
B0007,27,1.86003
B0007,28,1.85917
B0007,29,1.84814
B0007,30,1.84920
B0007,31,1.88347
B0007,32,1.86282
B0007,33,1.85209
B0007,34,1.84695
B0007,35,1.83683
B0007,36,1.83716
B0007,37,1.83167
B0007,38,1.82115
B0007,39,1.81651
B0007,40,1.81138
B0007,41,1.81161
B0007,42,1.80605
B0007,43,1.81320
B0007,44,1.80626
B0007,45,1.79583
B0007,46,1.78589
B0007,47,1.78033
B0007,48,1.81508
B0007,49,1.81570
B0007,50,1.80024
B0007,51,1.79045
B0007,52,1.78034
B0007,53,1.77533
B0007,54,1.77026
B0007,55,1.76008
B0007,56,1.74965
B0007,57,1.74965
B0007,58,1.74503
B0007,59,1.73965
B0007,60,1.72856
B0007,61,1.72390
B0007,62,1.71398
B0007,63,1.71397
B0007,64,1.70365
B0007,65,1.70401
B0007,66,1.69357
B0007,67,1.68766
B0007,68,1.68307
B0007,69,1.67793
B0007,70,1.67321
B0007,71,1.66744
B0007,72,1.66227
B0007,73,1.65742
B0007,74,1.65254
B0007,75,1.64722
B0007,76,1.63641
B0007,77,1.63626
B0007,78,1.64112
B0007,79,1.63157
B0007,80,1.62121
B0007,81,1.61643
B0007,82,1.61582
B0007,83,1.61672
B0007,84,1.61087
B0007,85,1.60066
B0007,86,1.59592
B0007,87,1.59622
B0007,88,1.59581
B0007,89,1.59065
B0007,90,1.68882
B0007,91,1.62599
B0007,92,1.61574
B0007,93,1.60566
B0007,94,1.59497
B0007,95,1.59041
B0007,96,1.58535
B0007,97,1.57997
B0007,98,1.57522
B0007,99,1.56980
B0007,100,1.57026
B0007,101,1.56525
B0007,102,1.55963
B0007,103,1.56498
B0007,104,1.57498
B0007,105,1.56528
B0007,106,1.55976
B0007,107,1.54990
B0007,108,1.54388
B0007,109,1.54502
B0007,110,1.54459
B0007,111,1.53431
B0007,112,1.52876
B0007,113,1.52893
B0007,114,1.52909
B0007,115,1.52391
B0007,116,1.51867
B0007,117,1.51365
B0007,118,1.51361
B0007,119,1.51395
B0007,120,1.53396
B0007,121,1.53914
B0007,122,1.52362
B0007,123,1.51358
B0007,124,1.50779
B0007,125,1.50320
B0007,126,1.49782
B0007,127,1.49285
B0007,128,1.49241
B0007,129,1.48748
B0007,130,1.48254
B0007,131,1.48279
B0007,132,1.47697
B0007,133,1.48190
B0007,134,1.49814
B0007,135,1.48208
B0007,136,1.47712
B0007,137,1.47208
B0007,138,1.47225
B0007,139,1.46701
B0007,140,1.46177
B0007,141,1.45670
B0007,142,1.45135
B0007,143,1.45162
B0007,144,1.44682
B0007,145,1.44676
B0007,146,1.44138
B0007,147,1.43625
B0007,148,1.43682
B0007,149,1.43629
B0007,150,1.44186
B0007,151,1.46721
B0007,152,1.45186
B0007,153,1.44714
B0007,154,1.44179
B0007,155,1.43163
B0007,156,1.43181
B0007,157,1.42626
B0007,158,1.42609
B0007,159,1.42126
B0007,160,1.41633
B0007,161,1.41658
B0007,162,1.41084
B0007,163,1.41099
B0007,164,1.40617
B0007,165,1.40634
B0007,166,1.40046
B0007,167,1.42179
B0007,168,1.43246
B0018,1,1.85500
B0018,2,1.84320
B0018,3,1.83960
B0018,4,1.83067
B0018,5,1.83270
B0018,6,1.82853
B0018,7,1.82120
B0018,8,1.81517
B0018,9,1.80430
B0018,10,1.82310
B0018,11,1.81213
B0018,12,1.80469
B0018,13,1.79084
B0018,14,1.78347
B0018,15,1.78094
B0018,16,1.77121
B0018,17,1.76863
B0018,18,1.75363
B0018,19,1.74622
B0018,20,1.73766
B0018,21,1.73152
B0018,22,1.70859
B0018,23,1.71147
B0018,24,1.70750
B0018,25,1.74924
B0018,26,1.73277
B0018,27,1.72223
B0018,28,1.71185
B0018,29,1.69927
B0018,30,1.69404
B0018,31,1.68190
B0018,32,1.67698
B0018,33,1.66552
B0018,34,1.65719
B0018,35,1.64822
B0018,36,1.63877
B0018,37,1.62765
B0018,38,1.62215
B0018,39,1.61401
B0018,40,1.67605
B0018,41,1.64930
B0018,42,1.63238
B0018,43,1.61642
B0018,44,1.61090
B0018,45,1.59546
B0018,46,1.72671
B0018,47,1.71657
B0018,48,1.69582
B0018,49,1.67778
B0018,50,1.66066
B0018,51,1.66641
B0018,52,1.64683
B0018,53,1.62576
B0018,54,1.61216
B0018,55,1.60574
B0018,56,1.67365
B0018,57,1.64043
B0018,58,1.61327
B0018,59,1.59210
B0018,60,1.58660
B0018,61,1.58008
B0018,62,1.56417
B0018,63,1.55562
B0018,64,1.54020
B0018,65,1.53216
B0018,66,1.53162
B0018,67,1.52226
B0018,68,1.50653
B0018,69,1.50142
B0018,70,1.49635
B0018,71,1.53343
B0018,72,1.52385
B0018,73,1.50119
B0018,74,1.49242
B0018,75,1.48332
B0018,76,1.48074
B0018,77,1.47351
B0018,78,1.46802
B0018,79,1.45809
B0018,80,1.44787
B0018,81,1.45278
B0018,82,1.44254
B0018,83,1.43927
B0018,84,1.42865
B0018,85,1.42490
B0018,86,1.46981
B0018,87,1.45258
B0018,88,1.44283
B0018,89,1.42838
B0018,90,1.41545
B0018,91,1.45458
B0018,92,1.42832
B0018,93,1.41970
B0018,94,1.41556
B0018,95,1.40568
B0018,96,1.40845
B0018,97,1.39685
B0018,98,1.39357
B0018,99,1.38936
B0018,100,1.37857
B0018,101,1.38490
B0018,102,1.37033
B0018,103,1.37335
B0018,104,1.36795
B0018,105,1.35671
B0018,106,1.46043
B0018,107,1.45010
B0018,108,1.43814
B0018,109,1.42837
B0018,110,1.41479
B0018,111,1.41389
B0018,112,1.39893
B0018,113,1.39533
B0018,114,1.39005
B0018,115,1.38603
B0018,116,1.38822
B0018,117,1.37618
B0018,118,1.36472
B0018,119,1.35899
B0018,120,1.34623
B0018,121,1.42684
B0018,122,1.40645
B0018,123,1.39349
B0018,124,1.38825
B0018,125,1.37019
B0018,126,1.37970
B0018,127,1.36866
B0018,128,1.36274
B0018,129,1.36341
B0018,130,1.35186
B0018,131,1.35480
B0018,132,1.34105
